ID,State,Damage,Reaction,Montage
L1,"Attack.Type.L1",1,"Hit.Reaction.None",
L2,"Attack.Type.L2",1,"Hit.Reaction.None",
L3,"Attack.Type.L3",1,"Hit.Reaction.None",
L4,"Attack.Type.L4",1,"Hit.Reaction.None",
L5,"Attack.Type.L5",5,"Hit.Reaction.None",
H1,"Attack.Type.H1",2,"Hit.Reaction.Stun",
H2,"Attack.Type.H2",2,"Hit.Reaction.Stun",
H3,"Attack.Type.H3",2,"Hit.Reaction.Stun",
H4,"Attack.Type.H4",5,"Hit.Reaction.Down",
LH3,"Attack.Type.LH3",3,"Hit.Reaction.Gap",
LH4,"Attack.Type.LH4",4,"Hit.Reaction.None",
LH5,"Attack.Type.LH5",6,"Hit.Reaction.None",
HH2,"Attack.Type.HH2",4,"Hit.Reaction.None",
HH3,"Attack.Type.HH3",4,"Hit.Reaction.Down",
HL3,"Attack.Type.HL3",1,"Hit.Reaction.None",
HLH4,"Attack.Type.HLH4",6,"Hit.Reaction.Down",
FFL,"Attack.Type.FF.L",2,"Hit.Reaction.Stun",
FFLL,"Attack.Type.FF.LL",1,"Hit.Reaction.None",
FFH,"Attack.Type.FF.H",2,"Hit.Reaction.None",
BFL,"Attack.Type.BF.L",2,"Hit.Reaction.Down",
BFH,"Attack.Type.BF.H",1,"Hit.Reaction.Push",
ParryL,"Attack.Type.Parry.L",3,"Hit.Reaction.Stun",
ParryH,"Attack.Type.Parry.H",3,"Hit.Reaction.Stun",
ParryThrow,"Attack.Type.Parry.Throw",0,"Hit.Reaction.Push",
RunL,"Attack.Type.Run.L",1,"Hit.Reaction.None",
RunH,"Attack.Type.Run.H",0,"Hit.Reaction.Down",
