ID,GameplayTag,Comment
Neutral,Player.CombatState.Neutral,Neutral state
Parry,Player.CombatState.Parry,Just after parry
Block,Player.CombatState.Block,Blocking
DodgeUp,Player.CombatState.Dodge.Up,Dodge Up
DodgeDown,Player.CombatState.Dodge.Down,Dodge Down
Run,Player.CombatState.Run,Running
L1,Player.CombatState.L,Light Attack Combo 1
L2,Player.CombatState.L.L,Light Attack Combo 2
L3,Player.CombatState.L.L.L,Light Attack Combo 3
L4,Player.CombatState.L.L.L.L,Light Attack Combo 4
L5,Player.CombatState.L.L.L.L.L,Light Attack Combo 5
H1,Player.CombatState.H,Heavy Attack Combo 1
H2,Player.CombatState.H.H,Heavy Attack Combo 2
H3,Player.CombatState.H.H.H,Heavy Attack Combo 3
H4,Player.CombatState.H.H.H.H,Heavy Attack Combo 4
LH3,Player.CombatState.L.L.H,Push Kick
LH4,Player.CombatState.L.L.L.H,Roundhouse Kick
LH5,Player.CombatState.L.L.L.L.H,Rising Claw
HH2,Player.CombatState.H.Wait.H,Raining Strikes
HH3,Player.CombatState.H.H.Wait.H,Spin Hook Kick
HL3,Player.CombatState.H.H.L,Scratch*
HLH4,Player.CombatState.H.H.L.H,Back Breaker
FFL,Player.CombatState.F.F.L,Crotch Punch
FFLL,Player.CombatState.F.F.L.L,Chin Up*
FFH,Player.CombatState.F.F.H,Snap Kick
BFL,Player.CombatState.B.F.L,Sweep
BFH,Player.CombatState.B.F.H,Palm Strike
ParryL,Player.CombatState.Parry.L,Lightning Strikes
ParryH,Player.CombatState.Parry.H,Sharp Strikes
ParryThrow,Player.CombatState.Parry.Throw,Directional Throw
RunL,Player.CombatState.Run.L,Khap Choy
RunH,Player.CombatState.Run.H,Slide Kick
